代碼,學校名稱,公私立,縣市名稱,地址,電話,網址,備註
210C01,國立成功大學附設高工進修學校,公立,[21]臺南市,[701]臺南市東區大學路1號,(06)2757575,http://www.ives.ncku.edu.tw,
140401,國立臺東專科學校附設高級農工職業進修學校,公立,[14]臺東縣,[950]臺東縣臺東市正氣北路889號,(089)226389,http://soce.ntc.edu.tw,「國立臺東專科學校」之學校代碼為「140222」
