縣市名稱,鄉鎮市區名稱,學校代碼,學校名稱,公/私立,山地別,學生總數,阿美族原住民學生數,泰雅族原住民學生數,排灣族原住民學生數,布農族原住民學生數,卑南族原住民學生數,鄒(曹)族原住民學生數,魯凱族原住民學生數,賽夏族原住民學生數,雅美族原住民學生數,邵族原住民學生數,噶瑪蘭族原住民學生數,太魯閣族原住民學生數,撒奇萊雅族原住民學生數,賽德克族原住民學生數,拉阿魯哇族原住民學生數,卡那卡那富族原住民學生數,其他原住民學生數
[01]新北市,烏來區,014684,市立烏來國(中)小,公立,山,67,1,57,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
[01]新北市,烏來區,014685,市立福山國小,公立,山,20,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034730,市立介壽國小,公立,山,77,0,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034731,市立三民國小,公立,山,59,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034732,市立義盛國小,公立,山,37,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034733,市立霞雲國小,公立,山,27,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034734,市立奎輝國小,公立,山,50,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034735,市立光華國小,公立,山,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034736,市立高義國小,公立,山,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034737,市立長興國小,公立,山,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034738,市立三光國小,公立,山,36,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034740,市立羅浮國小,公立,山,60,0,48,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034741,市立巴崚國小,公立,山,45,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064729,市立和平區和平國小,公立,山,39,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064731,市立白冷國小,公立,山,21,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064732,市立博屋瑪國小,公立,山,55,2,47,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064733,市立中坑國小,公立,山,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064734,市立平等國小,公立,山,38,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064735,市立博愛國小,公立,山,48,0,23,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0
[06]臺中市,和平區,064736,市立自由國小,公立,山,27,0,14,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064737,市立梨山國(中)小,公立,山,87,15,12,2,6,0,0,0,0,0,1,0,0,0,1,0,0,0
[12]高雄市,那瑪夏區,124731,市立民生國小,公立,山,103,0,1,1,79,0,5,0,0,0,0,0,0,0,0,0,17,0
[12]高雄市,茂林區,124732,市立茂林國小,公立,山,37,2,0,4,4,0,0,22,0,0,0,0,2,0,0,0,0,0
[12]高雄市,茂林區,124733,市立多納國小,公立,山,32,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
[12]高雄市,桃源區,124734,市立桃源國小,公立,山,71,1,1,3,60,0,0,0,0,0,0,0,0,0,0,1,0,0
[12]高雄市,桃源區,124735,市立建山國小,公立,山,41,1,0,4,30,2,0,0,0,0,0,0,0,0,0,2,0,0
[12]高雄市,桃源區,124736,市立興中國小,公立,山,56,0,0,2,41,0,1,0,0,0,0,0,0,0,0,9,0,0
[12]高雄市,桃源區,124737,市立寶山國小,公立,山,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0
[12]高雄市,桃源區,124738,市立樟山國小,公立,山,32,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
[12]高雄市,那瑪夏區,124755,市立那瑪夏區民權國小,公立,山,129,0,1,2,50,0,0,0,0,0,0,0,0,0,0,1,18,0
[02]宜蘭縣,大同鄉,024668,縣立四季國小,公立,山,85,1,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,大同鄉,024669,縣立南山國小,公立,山,70,0,67,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
[02]宜蘭縣,大同鄉,024670,縣立大同國小,公立,山,105,2,91,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0
[02]宜蘭縣,大同鄉,024671,縣立寒溪國小,公立,山,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024672,縣立南澳國小,公立,山,69,0,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024673,縣立碧候國小,公立,山,84,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024674,縣立武塔國小,公立,山,19,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024675,縣立澳花國小,公立,山,74,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024676,縣立東澳國小,公立,山,50,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024677,縣立金岳國小,公立,山,43,0,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024678,縣立金洋國小,公立,山,44,0,41,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
[04]新竹縣,尖石鄉,044666,縣立尖石國小,公立,山,27,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044667,縣立嘉興國小,公立,山,87,0,79,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044668,縣立新樂國小,公立,山,105,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044669,縣立梅花國小,公立,山,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044670,縣立錦屏國小,公立,山,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044671,縣立玉峰國小,公立,山,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[04]新竹縣,尖石鄉,044672,縣立石磊國小,公立,山,30,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044673,縣立秀巒國小,公立,山,72,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044674,縣立新光國小,公立,山,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,五峰鄉,044675,縣立五峰國小,公立,山,72,0,37,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
[04]新竹縣,五峰鄉,044676,縣立桃山國小,公立,山,55,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,五峰鄉,044677,縣立花園國小,公立,山,37,0,33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
