代碼,學校名稱,公私立,縣市名稱,地址,電話,網址
03C301,誠正中學桃園分校,公立,[03]桃園市,[330]桃園市桃園區向善街98號,(03)3253152,https://www.tyr.moj.gov.tw/
12C301,明陽中學,公立,[12]高雄市,[824]高雄市燕巢區橫山里正德新村6號,(07)6152115,https://www.myg.moj.gov.tw/
04C301,誠正中學,公立,[04]新竹縣,[304]新竹縣新豐鄉松柏村20鄰德昌街231號,(03)5575845,https://www.ctg.moj.gov.tw/
07C301,誠正中學彰化分校,公立,[07]彰化縣,[520]彰化縣田中鎮山腳路五段360巷170號,(04)8742111,https://www.chr.moj.gov.tw/
12M301,中正國防幹部預備學校,公立,[12]高雄市,[830]高雄市鳳山區凱旋路1號,(07)7414188,https://www.ccafps.khc.edu.tw/
