縣市名稱,鄉鎮市區,學生等級,本校代碼,本校名稱,分校分班名稱,公/私立,地區屬性,班級數,學生數男,學生數女,原住民學生比率,上學年畢業生數男,上學年畢業生數女
[01]新北市,坪林區,國小,014682,市立坪林國小,漁光分班,公立,特偏,2,0,1,0,0,1
[03]桃園市,復興區,國小,034740,市立羅浮國小,高坡分校,公立,偏遠,0,0,0,0,0,0
[06]臺中市,和平區,國小,064735,市立博愛國小,谷關分校,公立,極偏,6,12,8,70,2,3
[06]臺中市,和平區,國小,064736,市立自由國小,烏石分校,公立,極偏,6,8,6,42.86,0,1
[11]臺南市,龍崎區,國小,114620,市立龍崎國小,龍船分校,公立,特偏,6,9,7,0,0,4
[11]臺南市,西港區,國小,114678,市立後營國小,金砂分校,公立,偏遠,6,4,5,0,0,3
[11]臺南市,北門區,國小,114699,市立北門國小,玉湖分校,公立,偏遠,6,6,5,0,5,5
[11]臺南市,六甲區,國小,114717,市立六甲國小,湖東分校,公立,偏遠,5,7,6,0,1,0
[11]臺南市,大內區,國小,114724,市立大內國小,頭社分校,公立,偏遠,6,9,12,0,2,0
[11]臺南市,白河區,國小,114753,市立仙草國小,關嶺分校,公立,特偏,6,13,3,0,3,0
[11]臺南市,白河區,國小,114755,市立河東國小,六溪分校,公立,特偏,4,5,2,0,2,0
[12]高雄市,桃源區,國小,124738,市立樟山國小,復興分班,公立,極偏,0,0,0,0,0,0
[02]宜蘭縣,大同鄉,國小,024668,縣立四季國小,茂安分班,公立,極偏,4,2,4,100,0,1
[02]宜蘭縣,大同鄉,國小,024668,縣立四季國小,英士分校,公立,特偏,6,11,11,100,1,3
[02]宜蘭縣,大同鄉,國小,024670,縣立大同國小,松羅分校,公立,特偏,6,20,15,97.14,3,4
[02]宜蘭縣,大同鄉,國小,024670,縣立大同國小,樂水分校,公立,極偏,6,7,6,100,0,4
[04]新竹縣,寶山鄉,國小,044658,縣立寶山國小,山湖分校,公立,偏遠,6,25,34,0,10,3
[04]新竹縣,尖石鄉,國小,044667,縣立嘉興國小,義興分校,公立,偏遠,6,10,10,100,0,0
[04]新竹縣,尖石鄉,國小,044673,縣立秀巒國小,田埔分校,公立,極偏,6,7,9,100,1,3
[04]新竹縣,五峰鄉,國小,044677,縣立花園國小,竹林分校,公立,特偏,6,4,7,100,1,1
