縣市名稱,鄉鎮市區,學生等級,本校代碼,本校名稱,分校分班名稱,公/私立,地區屬性,班級數,學生數男,學生數女,原住民學生比率,上學年畢業生數男,上學年畢業生數女
[05]苗栗縣,三義鄉,國小,054624,縣立育英國小,龍騰分校,公立,偏遠,6,13,14,11.11,3,3
[05]苗栗縣,通霄鎮,國小,054640,縣立烏眉國小,楓樹分校,公立,偏遠,6,21,18,2.56,6,1
[05]苗栗縣,三灣鄉,國小,054664,縣立三灣國小,大坪分校,公立,偏遠,5,13,7,0,2,2
[05]苗栗縣,泰安鄉,國小,054711,縣立汶水國小,八卦分班,公立,特偏,3,2,4,83.33,0,1
[07]彰化縣,溪州鄉,國小,074732,縣立成功國小,西畔分校,公立,偏遠,6,11,16,0,1,0
[08]南投縣,集集鎮,國小,084657,縣立永昌國小,富山分校,公立,偏遠,6,13,11,0,4,1
[08]南投縣,鹿谷鄉,國小,084668,縣立鹿谷國小,和雅分校,公立,偏遠,4,3,3,0,0,1
[08]南投縣,仁愛鄉,國小,084734,縣立親愛國小,萬大分校,公立,極偏,6,26,21,80.85,1,4
[08]南投縣,仁愛鄉,國小,084738,縣立力行國小,翠巒分校,公立,極偏,3,4,1,100,0,0
[09]雲林縣,土庫鎮,國小,094659,縣立土庫國小,越港分校,公立,偏遠,6,55,33,1.14,8,7
[09]雲林縣,臺西鄉,國小,094675,縣立臺西國小,五榔分校,公立,偏遠,1,2,0,0,0,0
[09]雲林縣,麥寮鄉,國小,094702,縣立麥寮國小,海豐分校,公立,偏遠,6,14,24,0,4,3
[09]雲林縣,麥寮鄉,國小,094702,縣立麥寮國小,楊厝分班,公立,偏遠,2,3,0,0,0,0
[09]雲林縣,麥寮鄉,國小,094703,縣立橋頭國小,許厝分校,公立,偏遠,6,28,28,3.57,6,3
[09]雲林縣,口湖鄉,國小,094735,縣立口湖國小,青蚶分校,公立,特偏,0,0,0,0,0,0
[09]雲林縣,口湖鄉,國小,094736,縣立文光國小,湖口分校,公立,特偏,4,5,7,0,3,2
[09]雲林縣,口湖鄉,國小,094736,縣立文光國小,過港分校,公立,極偏,3,5,2,0,0,0
[09]雲林縣,水林鄉,國小,094753,縣立水燦林國小,和安分校,公立,偏遠,4,3,5,0,2,2
[10]嘉義縣,布袋鎮,國小,104608,縣立景山國小,振寮分校,公立,偏遠,6,13,16,0,2,1
[10]嘉義縣,溪口鄉,國小,104632,縣立柳溝國小,疊溪分校,公立,偏遠,6,20,12,0,3,3
[10]嘉義縣,東石鄉,國小,104647,縣立東石國小,型厝分校,公立,偏遠,6,29,20,0,5,3
[10]嘉義縣,義竹鄉,國小,104668,縣立南興國小,東華分校,公立,偏遠,6,13,10,0,5,2
[10]嘉義縣,梅山鄉,國小,104721,縣立大南國小,安靖分校,公立,特偏,4,8,5,0,1,0
[10]嘉義縣,阿里山鄉,國小,104727,縣立達邦國小,里佳分校,公立,極偏,4,3,7,100,2,1
[13]屏東縣,恆春鎮,國小,134717,縣立恆春國小,南灣分校,公立,特偏,6,12,14,11.54,7,4
[13]屏東縣,恆春鎮,國小,134722,縣立水泉國小,龍泉分校,公立,特偏,6,19,22,4.88,2,5
[13]屏東縣,恆春鎮,國小,134724,縣立墾丁國小,鵝鑾分校,公立,極偏,6,22,14,2.78,4,1
[13]屏東縣,車城鄉,國小,134725,縣立車城國小,射寮分校,公立,特偏,6,18,18,8.33,3,4
[13]屏東縣,車城鄉,國小,134725,縣立車城國小,溫泉分校,公立,特偏,6,13,10,17.39,2,6
[13]屏東縣,枋山鄉,國小,134736,縣立加祿國小,枋山分校,公立,特偏,5,15,15,10,2,4
[13]屏東縣,三地門鄉,國小,134737,縣立地磨兒國小,德文分校,公立,極偏,6,19,10,100,2,3
[13]屏東縣,霧臺鄉,國小,134748,縣立霧臺國小,勵古百合分校,公立,特偏,6,35,26,100,6,3
[13]屏東縣,泰武鄉,國小,134751,縣立武潭國小,平和分校,公立,偏遠,6,21,24,100,4,3
[13]屏東縣,泰武鄉,國小,134751,縣立武潭國小,佳平分校,公立,偏遠,6,21,21,100,5,3
[13]屏東縣,春日鄉,國小,134761,縣立古華國小,士文分校,公立,極偏,6,14,8,90.91,2,3
[13]屏東縣,牡丹鄉,國小,134768,縣立高士國小,牡林分校,公立,極偏,6,15,7,100,5,2
[14]臺東縣,卑南鄉,國小,144625,縣立富山國小,利吉分校,公立,偏遠,6,14,10,62.5,3,4
[14]臺東縣,大武鄉,國小,144638,縣立大鳥國小,愛國埔分校,公立,特偏,6,9,10,100,3,3
[14]臺東縣,池上鄉,國小,144653,縣立萬安國小,振興分校,公立,特偏,4,3,5,75,4,1
[14]臺東縣,成功鎮,國小,144662,縣立三民國小,和平分校,公立,特偏,6,14,8,72.73,0,3
[14]臺東縣,成功鎮,國小,144667,縣立忠孝國小,博愛分校,公立,特偏,4,2,3,100,1,1
[14]臺東縣,達仁鄉,國小,144680,縣立安朔國小,新化分校,公立,極偏,6,8,5,100,1,0
[14]臺東縣,海端鄉,國小,144695,縣立初來國小,新武分校,公立,極偏,6,10,5,93.33,2,4
[14]臺東縣,海端鄉,國小,144702,縣立霧鹿國小,利稻分校,公立,極偏,6,7,9,87.5,3,2
[15]花蓮縣,玉里鎮,國小,154660,縣立玉里國小,永昌分校,公立,偏遠,0,0,0,0,0,0
[71]金門縣,金城鎮,國小,714604,縣立賢庵國小,垵湖分校,公立,偏遠,6,18,14,0,3,4
[01]新北市,瑞芳區,國中,014545,市立欽賢國中,鼻頭分部,公立,偏遠,3,6,9,20,5,7
[04]新竹縣,寶山鄉,國中,044517,縣立寶山國中,莒光分部,公立,偏遠,3,15,0,20,10,0
[05]苗栗縣,銅鑼鄉,國中,054507,縣立文林國中,文隆分部,公立,偏遠,3,44,26,4.29,14,5
[10]嘉義縣,番路鄉,國中,104522,縣立民和國中,慈輝分校,公立,偏遠,3,9,3,0,4,4
[16]澎湖縣,馬公市,國中,164502,縣立中正國中,虎井分部,公立,特偏,2,0,2,0,5,1
[09]雲林縣,古坑鄉,附設國中,094308,縣立古坑華德福實驗高級中學,國中部潮厝分班,公立,偏遠,3,23,14,0,3,5
